Funktion_ID,Funktion_txt,WG/NWG,Typ_BDEW_th,Typ_BDEW_el
1000,Wohngebäude,WG,MFH,H0
1010,Wohnhaus,WG,EFH,H0
1020,Wohnheim,NWG,GBH,H0
1021,Kinderheim,NWG,GBH,G2
1022,Seniorenheim,NWG,GKO,G2
1050,Spielkasino,NWG,GBD,G2
1100,Gemischt genutztes Gebäude mit Wohnen,WG,MFH,H0
1110,Wohngebäude mit Gemeinbedarf,WG,MFH,H0
1120,Wohngebäude mit Handel und Dienstleistungen,WG,MFH,H0
1130,Wohngebäude mit Gewerbe und Industrie,WG,MFH,H0
1210,Land- und forstwirtschaftliches Wohngebäude,WG,EFH,H0
1220,Land- und forstwirtschaftliches Wohn- und Betriebsgebäude,WG,EFH,L2
1310,Gebäude zur Freizeitgestaltung,NWG,GKO,G2
1312,Wochenendhaus,NWG,GBH,G6
1313,Gartenhaus,NWG,GMF,G2
2000,Gebäude für Wirtschaft oder Gewerbe,NWG,GHD,G1
2010,Gebäude für Handel und Dienstleistungen,NWG,GHD,G1
2020,Bürogebäude,NWG,GBD,G1
2030,Kreditinstitut,NWG,GKO,G1
2050,Geschäftsgebäude,NWG,GHA,G1
2053,Markthalle,NWG,GHA,G4
2060,Messehalle,NWG,GKO,G1
2070,Gebäude für Beherbergung,NWG,GBH,G6
2072,Jugendherberge,NWG,GBH,G2
2080,Gebäude für Bewirtung,NWG,GGA,G2
2081,"Gaststätte, Restaurant",NWG,GGA,G2
2090,Freizeit- und Vergnügungsstätte,NWG,GKO,G2
2100,Gebäude für Gewerbe und Industrie,NWG,GHD,G1
2130,Tankstelle,NWG,GHA,G4
2131,"Waschstraße, Waschanlage, Waschhalle",NWG,GWA,G4
2140,Gebäude für Vorratshaltung,NWG,GHA,G3
2143,"Lagerhalle, Lagerschuppen, Lagerhaus",NWG,GHA,G3
2160,Gebäude für Forschungszwecke,NWG,GKO,G1
2213,Schöpfwerk,NWG,GMF,G3
2400,Betriebsgebäude zu Verkehrsanlagen (allgemein),NWG,GKO,G1
2410,Betriebsgebäude für Straßenverkehr,NWG,GKO,G1
2420,Betriebsgebäude für Schienenverkehr,NWG,GKO,G1
2430,Betriebsgebäude für Flugverkehr,NWG,GKO,G1
2440,Betriebsgebäude für Schiffsverkehr,NWG,GKO,G1
2443,Betriebsgebäude zur Schleuse,NWG,GKO,G3
2444,Bootshaus,NWG,GMK,G0
2461,Parkhaus,NWG,GMK,G3
2462,Parkdeck,NWG,GMK,G3
2463,Garage,NWG,GMK,G0
2464,Fahrzeughalle,NWG,GMK,G0
2465,Tiefgarage,NWG,GMK,G3
2500,Gebäude zur Versorgung,NWG,GKO,G1
2512,Pumpstation,NWG,GMF,G3
2513,Wasserbehälter,NWG,GWA,G0
2520,Gebäude zur Elektrizitätsversorgung,NWG,GKO,G3
2523,Umformer,NWG,GMK,G3
